time,pl,qfls,tau_diff
14.215063,0.7117093,1.4850152,4.5505047e-08
14.547366,0.70134217,1.4846358,4.5102222e-08
14.886931,0.69081616,1.4842448,4.473959e-08
15.23391,0.68014276,1.4838423,4.441381e-08
15.588465,0.66933227,1.4834281,4.4121936e-08
15.950769,0.6583956,1.4830022,4.386239e-08
16.32098,0.64734405,1.4825646,4.3632514e-08
16.699278,0.63618827,1.4821151,4.3430827e-08
17.085844,0.6249391,1.4816539,4.3256126e-08
17.480846,0.613608,1.4811809,4.3106006e-08
17.884476,0.60220546,1.480696,4.2979252e-08
18.296926,0.5907422,1.4801992,4.2875588e-08
18.71838,0.5792296,1.4796904,4.279286e-08
19.149042,0.5676777,1.4791696,4.272996e-08
19.589106,0.55609745,1.4786367,4.2687407e-08
20.038782,0.5444995,1.478092,4.266258e-08
20.498283,0.53289354,1.4775349,4.2657398e-08
20.967815,0.5212914,1.4769658,4.2676973e-08
21.447601,0.50970566,1.4763848,4.272254e-08
21.937874,0.4981483,1.4757918,4.2793445e-08
22.438847,0.48663166,1.4751872,4.2889003e-08
22.95076,0.47516695,1.4745709,4.300794e-08
23.473862,0.4637649,1.4739429,4.315017e-08
24.008383,0.45243654,1.4733036,4.3313985e-08
24.554575,0.44119132,1.4726529,4.3498776e-08
25.112705,0.43003866,1.4719911,4.3705498e-08
25.68302,0.4189882,1.471318,4.3931976e-08
26.265787,0.40804774,1.470634,4.4177604e-08
26.861292,0.3972253,1.4699391,4.4443876e-08
27.469793,0.38652897,1.4692334,4.4728864e-08
28.091595,0.37596497,1.4685171,4.503245e-08
28.726967,0.3655404,1.4677901,4.5355126e-08
29.376217,0.3552612,1.4670527,4.5696087e-08
30.039656,0.34513256,1.466305,4.6054968e-08
30.717575,0.33516,1.465547,4.6432774e-08
31.410301,0.32534814,1.4647789,4.6827914e-08
32.118164,0.3157008,1.4640007,4.724119e-08
32.84148,0.30622232,1.4632126,4.7672515e-08
33.5806,0.29691547,1.4624147,4.8121045e-08
34.335857,0.28778356,1.4616072,4.8588298e-08
35.10761,0.27882916,1.46079,4.9073492e-08
35.896214,0.27005428,1.4599633,4.957595e-08
36.702053,0.26146048,1.4591273,5.0097228e-08
37.525482,0.25304976,1.458282,5.063656e-08
38.366905,0.2448226,1.4574275,5.118143e-08
39.226696,0.23677635,1.4565636,5.1672707e-08
40.105263,0.22889343,1.4556882,5.2046467e-08
41.003033,0.22115436,1.454799,5.229399e-08
41.920395,0.21354316,1.4538937,5.2420837e-08
42.857807,0.20604552,1.4529697,5.243227e-08
43.81568,0.19864982,1.4520247,5.2335853e-08
44.794476,0.19134642,1.4510564,5.214112e-08
45.79466,0.18412799,1.4500623,5.185603e-08
46.816677,0.17698894,1.4490399,5.1489742e-08
47.86101,0.1699258,1.4479871,5.105383e-08
48.928173,0.1629368,1.4469013,5.0556036e-08
50.018623,0.15602201,1.4457803,5.000616e-08
51.132893,0.14918299,1.4446214,4.9412428e-08
52.27151,0.14242245,1.4434226,4.8782848e-08
53.434986,0.13574511,1.4421812,4.812601e-08
54.623867,0.1291565,1.440895,4.7447838e-08
55.838734,0.12266305,1.4395614,4.675463e-08
57.080116,0.11627267,1.4381783,4.6052186e-08
58.34861,0.10999357,1.436743,4.5345125e-08
59.644825,0.103834614,1.4352534,4.4637627e-08
60.969337,0.09780538,1.4337069,4.3933827e-08
62.322773,0.091915585,1.4321012,4.3236497e-08
63.705788,0.08617472,1.430434,4.2547978e-08
65.11899,0.0805928,1.4287027,4.1871502e-08
66.56306,0.075179234,1.4269052,4.120783e-08
68.03868,0.069942914,1.4250388,4.055892e-08
69.54652,0.06489253,1.4231012,3.9926356e-08
71.0873,0.060035802,1.4210901,3.9306595e-08
72.66172,0.055378865,1.4190028,3.8661007e-08
74.27052,0.050919,1.4168322,3.7935898e-08
75.91449,0.046649996,1.4145685,3.7126096e-08
77.59433,0.04256945,1.4122021,3.625269e-08
79.31087,0.03867719,1.4097233,3.5332853e-08
81.06491,0.034974873,1.407122,3.4383316e-08
82.85725,0.03146586,1.4043888,3.3419386e-08
84.68874,0.028154064,1.4015138,3.2451954e-08
86.56023,0.02504354,1.3984871,3.149081e-08
88.47258,0.022138087,1.3952992,3.0544992e-08
90.42673,0.01944063,1.3919401,2.9619926e-08
92.42352,0.016952826,1.3884002,2.8720077e-08
94.463936,0.014674769,1.3846695,2.7849667e-08
96.548935,0.012604749,1.3807386,2.7010394e-08
98.67944,0.0107390545,1.3765975,2.6203846e-08
100.85648,0.009072016,1.3722365,2.5431522e-08
103.08111,0.0075959708,1.3676457,2.4692705e-08
105.35431,0.0063014277,1.3628155,2.3987608e-08
107.6771,0.0051773954,1.3577362,2.3315728e-08
110.05069,0.0042114356,1.3523979,2.2676033e-08
112.47611,0.0033902666,1.3467907,2.20679e-08
114.95445,0.0026999959,1.3409053,2.1489951e-08
117.48698,0.0021264018,1.3347313,2.0940886e-08
120.07482,0.0016554686,1.3282593,2.0419979e-08
122.71911,0.001273594,1.3214799,1.9925551e-08
125.42123,0.0009678348,1.3143826,1.945644e-08
128.18236,0.00072623044,1.3069581,1.901143e-08
131.00372,0.00053788157,1.2991965,1.8589152e-08
133.88676,0.00039306926,1.291088,1.8190729e-08
136.8328,0.00028332838,1.2826246,1.781833e-08
139.84308,0.00020139726,1.2738006,1.7472392e-08
142.91919,0.00014114333,1.26461,1.715135e-08
146.0625,9.7504606e-05,1.255048,1.6852757e-08
149.27437,6.6382694e-05,1.245109,1.6574521e-08
152.55646,4.4529643e-05,1.2347867,1.6315624e-08
155.91025,2.9425591e-05,1.2240765,1.6074276e-08
159.33719,1.9150866e-05,1.2129726,1.5848801e-08
162.83907,1.2272633e-05,1.2014691,1.5638669e-08
166.41742,7.742661e-06,1.189561,1.5442561e-08
170.07394,4.807809e-06,1.1772424,1.5259326e-08
173.81023,2.9378202e-06,1.1645083,1.5088368e-08
177.6282,1.7661279e-06,1.1513529,1.4928725e-08
181.52957,1.0443476e-06,1.1377703,1.4779676e-08
185.51604,6.073122e-07,1.1237558,1.464087e-08
189.58969,3.4723246e-07,1.1093032,1.4511369e-08
193.7522,1.9515707e-07,1.0944077,1.4390563e-08
198.00572,1.0779509e-07,1.0790627,1.4278403e-08
202.35214,5.8503954e-08,1.0632635,1.4174071e-08
206.7935,3.1191906e-08,1.0470042,1.4077186e-08
211.33174,1.6333813e-08,1.0302801,1.398761e-08
215.96922,8.3988185e-09,1.0130847,1.39046845e-08
220.70798,4.2397694e-09,0.9954127,1.38281315e-08
225.55011,2.1007638e-09,0.9772593,1.3757914e-08
230.49814,1.021457e-09,0.95861816,1.3693444e-08
235.55421,4.8727666e-10,0.9394837,1.3634642e-08
240.7206,2.2802059e-10,0.9198518,1.35811815e-08
245.99994,1.04638034e-10,0.89971495,1.3529638e-08
