time_s,PL_norm,QFLS_eV,tau_diff_s
1e-11,1,1.48975439667579,1.76672987203733e-08
1.04138789330504e-11,0.999953148554945,1.48975318788019,1.76704919357173e-08
1.08448874432232e-11,0.999904377642607,1.48975192950101,1.76771793354937e-08
1.12937344876285e-11,0.999853611120231,1.48975061956622,1.76836254556896e-08
1.17611583656179e-11,0.999800763614072,1.4897492558649,1.76881146291789e-08
1.22479279331978e-11,0.999745741817331,1.48974783598059,1.76923595906137e-08
1.27548438677049e-11,0.999688462965663,1.48974635776803,1.76974275837037e-08
1.3282739984824e-11,0.999628833476045,1.48974481880187,1.77023438318784e-08
1.38324846101145e-11,0.999566757111486,1.48974321658725,1.77071324908296e-08
1.44049820073016e-11,0.999502132623913,1.48974154849888,1.7711618184064e-08
1.50011738656809e-11,0.999434854330077,1.48973981179583,1.77161973774393e-08
1.56220408490841e-11,0.999364815419936,1.48973800370679,1.77210816167759e-08
1.6268604208953e-11,0.999291903296329,1.48973612130971,1.77258072204238e-08
1.69419274641751e-11,0.999215998498501,1.48973416150381,1.77304775094997e-08
1.76431181504442e-11,0.999136979755551,1.48973212113998,1.77354115282181e-08
1.8373329642023e-11,0.999054720647763,1.4897299969344,1.77403805474979e-08
1.91337630489055e-11,0.998969087832307,1.48972778542257,1.77453516479896e-08
1.99256691924976e-11,0.998879944004694,1.48972548303564,1.77505269945527e-08
2.07503506630683e-11,0.99878714686925,1.4897230860736,1.77554205234514e-08
2.16091639623535e-11,0.998690542720038,1.48972059053929,1.77603901207957e-08
2.25035217348387e-11,0.998589980941892,1.48971799251277,1.77659265285477e-08
2.34348950913879e-11,0.998485301181418,1.48971528781972,1.77716746122262e-08
2.44048160290451e-11,0.998376336435486,1.48971247211091,1.77776190488886e-08
2.54148799509844e-11,0.998262913064912,1.48970954086235,1.77837682779477e-08
2.64667482907563e-11,0.998144850545439,1.4897064893685,1.779013162125e-08
2.75621512451456e-11,0.998021961211615,1.48970331273537,1.77963912046258e-08
2.87028906201371e-11,0.997894045368625,1.48970000575377,1.7802507908296e-08
2.98908427946697e-11,0.9977608989681,1.48969656309737,1.78090335489619e-08
3.11279618070533e-11,0.997622314216941,1.48969297933805,1.781602513631e-08
3.24162825691271e-11,0.997478071806374,1.48968924874462,1.78232737128592e-08
3.37579242134442e-11,0.997327943820807,1.48968536535746,1.78307902919499e-08
3.51550935789901e-11,0.9971716934235,1.48968132297993,1.78381612067201e-08
3.66100888411661e-11,0.997009066927417,1.48967711497262,1.78456240161417e-08
3.81253032920124e-11,0.996839811933624,1.48967273472204,1.78536415413004e-08
3.97032292768848e-11,0.996663663461012,1.48966817528118,1.78620191487046e-08
4.13464622940621e-11,0.996480345232506,1.48966342940202,1.78706405949295e-08
4.30577052640297e-11,0.996289568663095,1.48965848950858,1.78792886935943e-08
4.48397729754573e-11,0.996091030483967,1.48965334763454,1.78882350693315e-08
4.66955967151881e-11,0.995884424577537,1.48964799572884,1.78977085969502e-08
4.86282290898516e-11,0.995669429196956,1.48964242532377,1.79071958474085e-08
5.06408490470355e-11,0.995445701520985,1.48963662739277,1.79163736879817e-08
5.27367671042712e-11,0.995212885050837,1.48963059254079,1.7926182620315e-08
5.49194307944356e-11,0.994970633347321,1.48962431161853,1.79369518769919e-08
5.71924303365294e-11,0.994718572287567,1.48961777474297,1.79481491819819e-08
5.95595045411537e-11,0.99445631360057,1.48961097164666,1.79597924229974e-08
6.20245469604044e-11,0.994183454392654,1.48960389166392,1.79719004694304e-08
6.45916122922952e-11,0.993899576663206,1.48959652371665,1.79844932661467e-08
6.72649230502494e-11,0.993604246811313,1.48958885629972,1.79975919389225e-08
7.00488765086253e-11,0.993297015134106,1.48958087746606,1.80112189153888e-08
7.29480519357024e-11,0.992977415317813,1.4895725748114,1.80250992713919e-08
7.59672181260279e-11,0.992644953117622,1.48956393517782,1.80384311913298e-08
7.91113412445088e-11,0.992299095075561,1.48955494435756,1.80524029306704e-08
8.23855929951557e-11,0.991939351456819,1.48954558924656,1.80678049910035e-08
8.57953591279118e-11,0.991565182809343,1.48953585541328,1.80838444450696e-08
8.93462482975656e-11,0.991176030252794,1.48952572788275,1.8100549889654e-08
9.30441012893115e-11,0.99077131491756,1.48951519111867,1.81179516038422e-08
9.6895000626137e-11,0.990350437382346,1.48950422900535,1.81359987180263e-08
1.00905280573844e-10,0.989912773185751,1.48949282472698,1.81536220425612e-08
1.05081537560149e-10,0.989457625430454,1.48948095952752,1.81718168939385e-08
1.09430641025019e-10,0.988984367936864,1.48946861643774,1.81916400486849e-08
