time_s,PL_norm,QFLS_eV,tau_diff_s
1e-11,1,1.48975439667579,3.37100992221965e-09+0i
1.04138789330504e-11,0.999754478252876,1.48974806143696,3.40221327890422e-09+0i
1.08448874432232e-11,0.999503454020138,1.48974158260786,3.45679603597836e-09+0i
1.12937344876285e-11,0.999245674339771,1.48973492772987,3.50000525251456e-09+0i
1.17611583656179e-11,0.998980268381889,1.48972807417682,3.53644427219539e-09+0i
1.22479279331978e-11,0.998706592492422,1.48972100516302,3.5682905908242e-09+0i
1.27548438677049e-11,0.998424037996718,1.48971370478324,3.59725055756943e-09+0i
1.3282739984824e-11,0.998132166907298,1.48970616152035,3.62523592074395e-09+0i
1.38324846101145e-11,0.997830629637718,1.48969836612294,3.65152743923714e-09+0i
1.44049820073016e-11,0.997518833615474,1.48969030303666,3.67679495778571e-09+0i
1.50011738656809e-11,0.997196499445919,1.48968196478256,3.70160821721774e-09+0i
1.56220408490841e-11,0.996863096991653,1.48967333737402,3.72559042263828e-09+0i
1.6268604208953e-11,0.996518246020262,1.4896644106775,3.74926005902366e-09+0i
1.69419274641751e-11,0.996161474190103,1.48965517214988,3.77256616853696e-09+0i
1.76431181504442e-11,0.995792358531953,1.48964561049846,3.79515437174337e-09+0i
1.8373329642023e-11,0.995410321590917,1.48963571039809,3.81755867992633e-09+0i
1.91337630489055e-11,0.995015006579925,1.48962546220915,3.84076769069729e-09+0i
1.99256691924976e-11,0.994606008199584,1.48961485500478,3.86419829086456e-09+0i
2.07503506630683e-11,0.994182825581975,1.48960387534569,3.88680141204831e-09+0i
2.16091639623535e-11,0.993744791582656,1.48959250543738,3.90950747412907e-09+0i
2.25035217348387e-11,0.993291566925916,1.48958073595335,3.93316435500208e-09+0i
2.34348950913879e-11,0.992822649147566,1.48956855329154,3.95617919683716e-09+0i
2.44048160290451e-11,0.992337296568045,1.48955593758586,3.97922980765967e-09+0i
2.54148799509844e-11,0.991835123368283,1.48954287816753,4.00310056014285e-09+0i
2.64667482907563e-11,0.991315549206086,1.4895293592616,4.02668365181805e-09+0i
2.75621512451456e-11,0.990777874291397,1.48951536192629,4.05056524427096e-09+0i
2.87028906201371e-11,0.990221628125417,1.48950087312763,4.07403141619689e-09+0i
2.98908427946697e-11,0.989645876258245,1.48948586768049,4.09735029937479e-09+0i
3.11279618070533e-11,0.989050169964054,1.48947033298239,4.1221186681186e-09+0i
3.24162825691271e-11,0.98843399436946,1.48945425464291,4.14780705474771e-09+0i
3.37579242134442e-11,0.987796728745257,1.48943761543831,4.17410863583117e-09+0i
3.51550935789901e-11,0.987137737538197,1.48942039767836,4.19995906165042e-09+0i
3.66100888411661e-11,0.986456026865192,1.48940257421704,4.22516135521131e-09+0i
3.81253032920124e-11,0.985750833858184,1.48938412383973,4.2514928008079e-09+0i
3.97032292768848e-11,0.985021693875363,1.4893650330394,4.27920017061845e-09+0i
4.13464622940621e-11,0.984267906640817,1.48934528204737,4.30721350717868e-09+0i
4.30577052640297e-11,0.983488610084871,1.48932484674247,4.33439553165203e-09+0i
4.48397729754573e-11,0.982682641101414,1.48930369497258,4.36212122695401e-09+0i
4.66955967151881e-11,0.98184957142922,1.48928181373419,4.39153076580422e-09+0i
4.86282290898516e-11,0.9809886348418,1.48925918103292,4.42093449325878e-09+0i
5.06408490470355e-11,0.980098724623643,1.48923576577292,4.45015341905384e-09+0i
5.27367671042712e-11,0.979178939770994,1.4892115420997,4.48044231557212e-09+0i
5.49194307944356e-11,0.978228627760821,1.48918649054458,4.51101739021039e-09+0i
5.71924303365294e-11,0.977246522001832,1.48916057527717,4.54066912992977e-09+0i
5.95595045411537e-11,0.976231381284426,1.4891337609141,4.57167939040542e-09+0i
6.20245469604044e-11,0.975182868321211,1.48910603575318,4.60487127283172e-09+0i
6.45916122922952e-11,0.974100100369497,1.48907737350508,4.63905846937147e-09+0i
6.72649230502494e-11,0.972982181851543,1.48904774732935,4.67426558045827e-09+0i
7.00488765086253e-11,0.971828205479669,1.4890171298521,4.70812606973042e-09+0i
7.29480519357024e-11,0.970636062088385,1.48898546151836,4.74169934610356e-09+0i
7.59672181260279e-11,0.969405260453865,1.48895272542551,4.77782677717875e-09+0i
7.91113412445088e-11,0.968135092200464,1.48891889867647,4.81558737007947e-09+0i
8.23855929951557e-11,0.96682459049562,1.48888395123084,4.85396537962213e-09+0i
8.57953591279118e-11,0.965472473420075,1.4888478443331,4.89109461783815e-09+0i
8.93462482975656e-11,0.964076672066662,1.48881051780915,4.92907306056496e-09+0i
9.30441012893115e-11,0.962636979193527,1.48877196087775,4.96976908088481e-09+0i
9.6895000626137e-11,0.961152378027701,1.48873214080333,5.01100810077355e-09+0i
1.00905280573844e-10,0.959621377368181,1.48869101172681,5.05167198393467e-09+0i
1.05081537560149e-10,0.958042211001284,1.48864851991363,5.09356962116178e-09+0i
1.09430641025019e-10,0.956414416093906,1.48860464624406,5.13770687886028e-09+0i
1.13959744720065e-10,0.954736839138877,1.48855935260606,5.17941243942556e-09+0i
1.18676298475609e-10,0.953005954587582,1.48851253619682,5.22188102042591e-09+0i
1.23588060454755e-10,0.95122255798526,1.48846421043603,5.26875716793873e-09+0i
1.28703109914634e-10,0.949385575526635,1.488414337807,5.317247089376e-09+0i
1.34029860495808e-10,0.947493938237174,1.48836288039192,5.36739927356529e-09+0i
1.39577074061698e-10,0.945546584773176,1.48830979992536,5.41695831321651e-09+0i
1.45353875110794e-10,0.943540783644492,1.48825501189445,5.46505746120615e-09+0i
1.51369765785354e-10,0.941474710683515,1.48819845564448,5.5157998474823e-09+0i
1.57634641501287e-10,0.939348592665797,1.48814012600967,5.57014746534789e-09+0i
1.64158807224922e-10,0.937161375589909,1.48807998220327,5.62641255498797e-09+0i
1.7095299442343e-10,0.934912014762689,1.48801798299152,5.68017690268605e-09+0i
1.78028378716804e-10,0.932595904974908,1.48795398790745,5.73443790227225e-09+0i
1.85396598260405e-10,0.930214241720979,1.48788801559617,5.79358010907881e-09+0i
1.93069772888325e-10,0.927766011628798,1.48782002308352,5.85428026116519e-09+0i
2.01060524049056e-10,0.925249706554126,1.48774995275417,5.91363930820976e-09+0i
2.09381995566254e-10,0.922661792001407,1.48767768929441,5.97434143964192e-09+0i
2.18047875258747e-10,0.920002957449583,1.4876032341022,6.03933937323228e-09+0i
2.27072417455348e-10,0.917272275896238,1.48752654266842,6.10127611236167e-09+0i
2.36470466441508e-10,0.91446386546489,1.48744742969547,6.16352298979765e-09+0i
2.46257480876383e-10,0.911579666774645,1.48736592847518,6.23208620425479e-09+0i
2.56449559220463e-10,0.908619366038448,1.4872820081731,6.30391213718083e-09+0i
2.67063466215606e-10,0.905582168016977,1.48719562330275,6.37852216536034e-09+0i
2.78116660461013e-10,0.902467337869425,1.48710672894776,6.45077013696272e-09+0i
