time_s,PL_norm,QFLS_eV,tau_diff_s
1e-11,1,1.48975439667579,4.35203098743922e-11+0i
1.04138789330504e-11,0.981159703404722,1.4892636797437,4.69186583529303e-11+0i
1.08448874432232e-11,0.964625836202361,1.4888252100025,5.37476809027131e-11+0i
1.12937344876285e-11,0.949556486162185,1.48841898196597,5.97187397715211e-11+0i
1.17611583656179e-11,0.935474681041022,1.48803350576064,6.50397718376832e-11+0i
1.22479279331978e-11,0.922099535783465,1.48766196237011,6.9916652747595e-11+0i
1.27548438677049e-11,0.909258308526152,1.48730014439546,7.45057423758809e-11+0i
1.3282739984824e-11,0.896837894320667,1.48694528872643,7.89130162379591e-11+0i
1.38324846101145e-11,0.884760604660503,1.48659549179239,8.32119362679226e-11+0i
1.44049820073016e-11,0.872970727108837,1.48624938269471,8.74523829124903e-11+0i
1.50011738656809e-11,0.861426437089284,1.48590592378316,9.16665897012487e-11+0i
1.56220408490841e-11,0.850094900171376,1.48556428863328,9.58789769366149e-11+0i
1.6268604208953e-11,0.838950356407676,1.4852238200749,1.00110971092917e-10+0i
1.69419274641751e-11,0.827972150858915,1.48488398208351,1.0438001917459e-10+0i
1.76431181504442e-11,0.817143571511961,1.48454433256434,1.08699969978938e-10+0i
1.8373329642023e-11,0.806450698669685,1.4842044938335,1.13079690843549e-10+0i
1.91337630489055e-11,0.795881501262705,1.4838641283987,1.17526752891313e-10+0i
1.99256691924976e-11,0.785425790914462,1.48352294075019,1.22053834802622e-10+0i
2.07503506630683e-11,0.775075589786287,1.48318069292103,1.26673806785654e-10+0i
2.16091639623535e-11,0.764824183155132,1.48283717680002,1.31392275694346e-10+0i
2.25035217348387e-11,0.754665420879122,1.48249219257483,1.36219813967627e-10+0i
2.34348950913879e-11,0.744594905668272,1.48214559072664,1.41164840110266e-10+0i
2.44048160290451e-11,0.734608187038582,1.48179721225604,1.46228049635809e-10+0i
2.54148799509844e-11,0.724701277697694,1.48144690658902,1.51418600624483e-10+0i
2.64667482907563e-11,0.714871221964343,1.48109455284521,1.56748648319687e-10+0i
2.75621512451456e-11,0.705115699454183,1.4807400475509,1.62222389705129e-10+0i
2.87028906201371e-11,0.695432231276358,1.48038327652629,1.678537510768e-10+0i
2.98908427946697e-11,0.685820018301041,1.48002418339424,1.73649275223266e-10+0i
3.11279618070533e-11,0.676277089357179,1.47966266497704,1.79612792975478e-10+0i
3.24162825691271e-11,0.666802763320342,1.47929866328956,1.85771402669869e-10+0i
3.37579242134442e-11,0.657397542839677,1.47893216470509,1.92110452773242e-10+0i
3.51550935789901e-11,0.648058789263577,1.47856303102141,1.9863665931074e-10+0i
3.66100888411661e-11,0.638787289847289,1.47819125567399,2.05373114106604e-10+0i
3.81253032920124e-11,0.629582188287649,1.47781676575753,2.12318014826262e-10+0i
3.97032292768848e-11,0.620443569184211,1.47743952461333,2.19491022506137e-10+0i
4.13464622940621e-11,0.611371771177377,1.47705950560808,2.26901211305741e-10+0i
4.30577052640297e-11,0.602367024175841,1.47667667738153,2.34555926158877e-10+0i
4.48397729754573e-11,0.593429634582243,1.47629101156868,2.42473247397367e-10+0i
4.66955967151881e-11,0.58456056584009,1.47590250868088,2.50661011018987e-10+0i
4.86282290898516e-11,0.575760008203069,1.47551113625138,2.59143474029718e-10+0i
5.06408490470355e-11,0.567029875884653,1.4751169399102,2.67904409604001e-10+0i
5.27367671042712e-11,0.558368562159935,1.47471980712822,2.76957012281857e-10+0i
5.49194307944356e-11,0.549778193082948,1.47431979519685,2.86337634887682e-10+0i
5.71924303365294e-11,0.541258782967481,1.47391686614257,2.96029828433074e-10+0i
5.95595045411537e-11,0.532810710334496,1.47351099897994,3.06076679228641e-10+0i
6.20245469604044e-11,0.524435767934467,1.47310224276643,3.16481554857502e-10+0i
6.45916122922952e-11,0.516133729977604,1.47269055066005,3.27260762006052e-10+0i
6.72649230502494e-11,0.507906444114078,1.47227597992765,3.38436346853956e-10+0i
7.00488765086253e-11,0.499754025216314,1.4718585039955,3.50012984005465e-10+0i
7.29480519357024e-11,0.491677713491642,1.47143815543573,3.62037658914528e-10+0i
7.59672181260279e-11,0.483678973640467,1.4710149828315,3.74501303569452e-10+0i
7.91113412445088e-11,0.475757751791913,1.47058895751491,3.87392027883393e-10+0i
