time_s,PL_norm,QFLS_eV,tau_diff_s
1e-11,1,1.48975439667579,1.11449363431952e-08+0i
1.04138789330504e-11,0.999925730654557,1.48975248045552,1.12027705641927e-08+0i
1.08448874432232e-11,0.999849175929805,1.4897505051213,1.12893553045666e-08+0i
1.12937344876285e-11,0.999769880896945,1.48974845891971,1.13471035910738e-08+0i
1.17611583656179e-11,0.999687714681791,1.48974633845628,1.14022311959336e-08+0i
1.22479279331978e-11,0.999602563812712,1.48974414078399,1.1449414125674e-08+0i
1.27548438677049e-11,0.999514205545248,1.48974186013352,1.14916863123259e-08+0i
1.3282739984824e-11,0.999422554089011,1.48973949426821,1.153465367771e-08+0i
1.38324846101145e-11,0.99932746103852,1.48973703933319,1.15745434652286e-08+0i
1.44049820073016e-11,0.999228769297145,1.48973449124683,1.16133855884964e-08+0i
1.50011738656809e-11,0.999126350735945,1.48973184667295,1.16513810468745e-08+0i
1.56220408490841e-11,0.999020039845875,1.48972910130756,1.16883132222848e-08+0i
1.6268604208953e-11,0.998909692313991,1.48972625139119,1.17248767437663e-08+0i
1.69419274641751e-11,0.998795142854152,1.48972329261969,1.17607189700657e-08+0i
1.76431181504442e-11,0.998676227872658,1.48972022072933,1.17952359366652e-08+0i
1.8373329642023e-11,0.998552756170758,1.48971703073966,1.18289958733091e-08+0i
1.91337630489055e-11,0.998424560857247,1.48971371829433,1.1864018040458e-08+0i
1.99256691924976e-11,0.998291480416103,1.48971027917198,1.19001216253163e-08+0i
2.07503506630683e-11,0.998153333118915,1.48970670862472,1.1936044851249e-08+0i
2.16091639623535e-11,0.99800991621456,1.48970300135665,1.19700642871855e-08+0i
2.25035217348387e-11,0.997860990950751,1.48969915113588,1.20043450060032e-08+0i
2.34348950913879e-11,0.997706389337101,1.48969515355436,1.20406119526847e-08+0i
2.44048160290451e-11,0.99754590267079,1.4896910031459,1.20764218887608e-08+0i
2.54148799509844e-11,0.9973792858762,1.48968669349726,1.21112298511465e-08+0i
2.64667482907563e-11,0.997206296873096,1.48968221826558,1.21469094325823e-08+0i
2.75621512451456e-11,0.997026724530924,1.4896775719014,1.21836607356341e-08+0i
2.87028906201371e-11,0.99684031721499,1.48967274779963,1.22196357083021e-08+0i
2.98908427946697e-11,0.996646790896033,1.48966773850809,1.22560525244834e-08+0i
3.11279618070533e-11,0.996445911191766,1.48966253785046,1.22925869600764e-08+0i
3.24162825691271e-11,0.996237364559851,1.48965713759123,1.23274576301756e-08+0i
3.37579242134442e-11,0.996020834690566,1.48965152941188,1.23639483268707e-08+0i
3.51550935789901e-11,0.995796097503052,1.48964570737134,1.24031060031596e-08+0i
3.66100888411661e-11,0.995562858723742,1.48963966369899,1.244318353971e-08+0i
3.81253032920124e-11,0.995320814416502,1.48963339036093,1.24841990717989e-08+0i
3.97032292768848e-11,0.995069650809762,1.48962687905453,1.25260915339325e-08+0i
4.13464622940621e-11,0.994809040688892,1.48962012111377,1.25646758525722e-08+0i
4.30577052640297e-11,0.994538471765375,1.48961310305561,1.26033439301545e-08+0i
4.48397729754573e-11,0.99425772446383,1.48960581897046,1.26460979594591e-08+0i
4.66955967151881e-11,0.993966440389042,1.48959825933074,1.26899379846974e-08+0i
4.86282290898516e-11,0.993664249937458,1.48959041429821,1.27348906216128e-08+0i
5.06408490470355e-11,0.993350772155284,1.48958227371874,1.2777458842921e-08+0i
5.27367671042712e-11,0.99302543826717,1.48957382253578,1.28199532011368e-08+0i
5.49194307944356e-11,0.992687943785257,1.48956505253121,1.28658889788504e-08+0i
5.71924303365294e-11,0.992337875209581,1.48955595263008,1.29132060282849e-08+0i
5.95595045411537e-11,0.991974799344284,1.4895465112174,1.295971011765e-08+0i
6.20245469604044e-11,0.991598151116818,1.48953671321689,1.3005927271466e-08+0i
6.45916122922952e-11,0.991207488697593,1.48952654672317,1.30544415739318e-08+0i
6.72649230502494e-11,0.990802366505408,1.48951599969922,1.31040275724584e-08+0i
7.00488765086253e-11,0.990382241799814,1.48950505754116,1.31501686748998e-08+0i
7.29480519357024e-11,0.989946343302582,1.48949369964682,1.3197630627687e-08+0i
7.59672181260279e-11,0.989494386563366,1.48948191805225,1.32502381588379e-08+0i
7.91113412445088e-11,0.989025833268542,1.48946969813647,1.33043530167145e-08+0i
8.23855929951557e-11,0.988540130010601,1.48945702483551,1.33600087223614e-08+0i
8.57953591279118e-11,0.988036708144786,1.48944388263515,1.34172433895381e-08+0i
8.93462482975656e-11,0.987514983721454,1.48943025556532,1.34739639730905e-08+0i
9.30441012893115e-11,0.986974189096387,1.4894161227943,1.35274821528505e-08+0i
9.6895000626137e-11,0.986413470867632,1.48940146117359,1.35832412515576e-08+0i
1.00905280573844e-10,0.985832445043847,1.4893862597562,1.36438897917143e-08+0i
1.05081537560149e-10,0.985230455310354,1.48937050040564,1.3706332191491e-08+0i
1.09430641025019e-10,0.984606828835523,1.48935416447402,1.37704715312638e-08+0i
1.13959744720065e-10,0.983960862907615,1.48933723244612,1.38309185202838e-08+0i
1.18676298475609e-10,0.983291333442409,1.48931967103645,1.38917920960146e-08+0i
1.23588060454755e-10,0.982597853364402,1.48930146880321,1.39582970403273e-08+0i
1.28703109914634e-10,0.981879671570867,1.48928260466161,1.40268436272423e-08+0i
1.34029860495808e-10,0.981136019669433,1.48926305696257,1.40946770988051e-08+0i
1.39577074061698e-10,0.980365810512763,1.48924279555169,1.41618319764912e-08+0i
1.45353875110794e-10,0.979568211304522,1.48922179682369,1.42322668892273e-08+0i
1.51369765785354e-10,0.978742516385064,1.48920004038853,1.43061057955882e-08+0i
1.57634641501287e-10,0.977887875973142,1.48917750192228,1.43745231245977e-08+0i
1.64158807224922e-10,0.97700248667605,1.48915413176724,1.44433190587453e-08+0i
1.7095299442343e-10,0.976086094301283,1.48912992096059,1.45203569098878e-08+0i
1.78028378716804e-10,0.975137839563669,1.48910484441891,1.46003416274717e-08+0i
1.85396598260405e-10,0.974156788322543,1.48907887489763,1.46828826782121e-08+0i
1.93069772888325e-10,0.973141989344451,1.4890519845033,1.47680549176654e-08+0i
2.01060524049056e-10,0.972092474994586,1.48902414469956,1.48524526442978e-08+0i
2.09381995566254e-10,0.971006761221087,1.48899531300868,1.49323158470315e-08+0i
2.18047875258747e-10,0.969883239026009,1.48896544333459,1.50159167237512e-08+0i
2.27072417455348e-10,0.968721546347653,1.48893452246313,1.51070079202416e-08+0i
2.36470466441508e-10,0.967520628117476,1.48890251851784,1.52011048943166e-08+0i
2.46257480876383e-10,0.966279414890193,1.48886939895537,1.52966491624597e-08+0i
2.56449559220463e-10,0.96499655126519,1.48883512328792,1.53875161876641e-08+0i
2.67063466215606e-10,0.963669866247772,1.48879962883586,1.54804942593876e-08+0i
2.78116660461013e-10,0.962299035241131,1.48876290192306,1.55816104354601e-08+0i
2.89627323130528e-10,0.960882907657002,1.4887249064558,1.56861797058782e-08+0i
3.0161438787848e-10,0.959420322596395,1.48868560568156,1.57873851930878e-08+0i
3.1409757198326e-10,0.957908806969774,1.48864492710359,1.58891644453815e-08+0i
3.27097408779876e-10,0.95634781882185,1.48860284966988,1.59986049524781e-08+0i
3.40635281434814e-10,0.954736207154507,1.48855933552784,1.61087474451431e-08+0i
