time_s,PL_norm,QFLS_eV,tau_diff_s
1e-11,1,1.48975439667579,1.6062569118685e-10+0i
1.04138789330504e-11,0.994859921457123,1.4896214406537,1.67665385694576e-10+0i
1.08448874432232e-11,0.989972358218147,1.48949437763913,1.80807580138996e-10+0i
1.12937344876285e-11,0.98522440484932,1.48937034196314,1.91645192180821e-10+0i
1.17611583656179e-11,0.980551199980596,1.48924767393079,2.00985083262162e-10+0i
1.22479279331978e-11,0.975913807572926,1.48912536665954,2.09369536255517e-10+0i
1.27548438677049e-11,0.971287677373952,1.48900277597274,2.17139337938543e-10+0i
1.3282739984824e-11,0.966656251070957,1.4888794586524,2.24504257234824e-10+0i
1.38324846101145e-11,0.962007755690091,1.48875509130522,2.31600471332941e-10+0i
1.44049820073016e-11,0.957333449689362,1.48862942596453,2.3851766237692e-10+0i
1.50011738656809e-11,0.952626502508,1.48850226153578,2.45314854284092e-10+0i
1.56220408490841e-11,0.947881353912987,1.48837342745837,2.52036380483972e-10+0i
1.6268604208953e-11,0.943093463075831,1.48824277754546,2.58718422368683e-10+0i
1.69419274641751e-11,0.938259040048045,1.4881101831609,2.65389765185071e-10+0i
1.76431181504442e-11,0.933374893659883,1.48797552941202,2.72072945906121e-10+0i
1.8373329642023e-11,0.928438254993356,1.48783871055222,2.78784348997383e-10+0i
1.91337630489055e-11,0.923446663419898,1.48769962699125,2.85537834060309e-10+0i
1.99256691924976e-11,0.918397944083428,1.48755818478208,2.92350733023295e-10+0i
2.07503506630683e-11,0.913290314722607,1.4874142987486,2.9923983331395e-10+0i
2.16091639623535e-11,0.908122224185889,1.48726788810211,3.06214591586884e-10+0i
2.25035217348387e-11,0.902892234409874,1.48711887315561,3.13288441251184e-10+0i
2.34348950913879e-11,0.897599255060251,1.48696718206303,3.20471948673264e-10+0i
2.44048160290451e-11,0.892242195245585,1.48681274094657,3.27769118600639e-10+0i
2.54148799509844e-11,0.886820081265941,1.48665547722887,3.35191396839484e-10+0i
2.64667482907563e-11,0.881332177492248,1.48649532317957,3.42751500730499e-10+0i
2.75621512451456e-11,0.875777893232307,1.48633221329409,3.50455873089896e-10+0i
2.87028906201371e-11,0.870156661593262,1.48616608074691,3.58319341849661e-10+0i
2.98908427946697e-11,0.86446831789054,1.48599686861709,3.66348916018106e-10+0i
3.11279618070533e-11,0.858712463777604,1.48582451109084,3.74550204641137e-10+0i
3.24162825691271e-11,0.852889050737101,1.4856489507926,3.82949407991644e-10+0i
3.37579242134442e-11,0.846998422993159,1.48547014036369,3.91536915614088e-10+0i
3.51550935789901e-11,0.841040164634608,1.48528800743714,4.00315673891203e-10+0i
3.66100888411661e-11,0.835014637959194,1.48510250126188,4.09312832678038e-10+0i
3.81253032920124e-11,0.828922168605825,1.48491356811113,4.18525557692053e-10+0i
3.97032292768848e-11,0.822762947634863,1.48472114809587,4.27973508776879e-10+0i
4.13464622940621e-11,0.816537785107687,1.48452519873523,4.37665276267261e-10+0i
4.30577052640297e-11,0.810247023322282,1.48432566101859,4.47609792474966e-10+0i
4.48397729754573e-11,0.803891617592907,1.48412249344551,4.57822754394228e-10+0i
4.66955967151881e-11,0.797472243069026,1.48391564382946,4.68308313788294e-10+0i
4.86282290898516e-11,0.790989846567924,1.48370506687044,4.79102196453684e-10+0i
5.06408490470355e-11,0.784445950509143,1.48349073444304,4.90193866674767e-10+0i
5.27367671042712e-11,0.777841068172427,1.48327258377353,5.01564317977822e-10+0i
5.49194307944356e-11,0.771176077959734,1.48305056194621,5.13279742622225e-10+0i
5.71924303365294e-11,0.764453103954979,1.48282465605753,5.25326879708876e-10+0i
5.95595045411537e-11,0.757672512837414,1.48259479275834,5.37711121619948e-10+0i
6.20245469604044e-11,0.750836390136934,1.48236095499618,5.50476196029867e-10+0i
6.45916122922952e-11,0.743946041199864,1.48212309795695,5.63609440137939e-10+0i
6.72649230502494e-11,0.737003028087474,1.48188118409992,5.7714596217634e-10+0i
7.00488765086253e-11,0.730009316971563,1.48163518874157,5.91094012921009e-10+0i
7.29480519357024e-11,0.722966447004794,1.48138507105516,6.05468245418423e-10+0i
7.59672181260279e-11,0.715876497087737,1.48113080815718,6.20310696691023e-10+0i
7.91113412445088e-11,0.708741734427591,1.48087238325205,6.35625570411452e-10+0i
8.23855929951557e-11,0.701564052737265,1.48060976533155,6.5137337809124e-10+0i
8.57953591279118e-11,0.694344577340164,1.48034289381576,6.6762398483228e-10+0i
8.93462482975656e-11,0.687086490860576,1.48007178314133,6.8441837863912e-10+0i
9.30441012893115e-11,0.679791511419643,1.47979639315592,7.01694362684532e-10+0i
9.6895000626137e-11,0.672461187662468,1.47951667590253,7.19562964652966e-10+0i
1.00905280573844e-10,0.665099250539103,1.47923266646207,7.38015004326167e-10+0i
1.05081537560149e-10,0.657706715211848,1.47894429552636,7.57054309610218e-10+0i
1.09430641025019e-10,0.650287013329239,1.47865158714755,7.76743888995963e-10+0i
1.13959744720065e-10,0.642842049127946,1.47835450589822,7.97071734234722e-10+0i
1.18676298475609e-10,0.635374611620566,1.47805305140232,8.18086541533667e-10+0i
1.23588060454755e-10,0.627887131454032,1.4777472094,8.39833518412942e-10+0i
1.28703109914634e-10,0.620382778046391,1.47743699660228,8.62320505794286e-10+0i
1.34029860495808e-10,0.612863670331475,1.47712238733153,8.85501748206063e-10+0i
1.39577074061698e-10,0.605331756404348,1.47680334844617,9.09509374240998e-10+0i
1.45353875110794e-10,0.597790969754446,1.47647993199167,9.34324322676809e-10+0i
1.51369765785354e-10,0.590242467517678,1.47615207256886,9.59973362524317e-10+0i
