QFLS_eV,simulation_results-shallow-plateau_alphas-mu-1,simulation_results-shallow_photodoping_alphas-mu-1,simulation_results-no-photodopgin_alphas-mu-1,simulation_results-trap-high-Nt_alphas-mu-1,simulation_results-trap-low-Nt_alphas-mu-1
0.9,NaN,NaN,NaN,NaN,NaN
0.902311693371607,0.367442192756312,0.445150865874744,0.292292667853344,NaN,0.00085587882938043
0.904623386743215,0.367322960243979,0.447558712987236,0.297333855748147,NaN,0.00163672754505644
0.906935080114822,0.367140851464382,0.448654628186277,0.301126612899717,NaN,0.00146885005895244
0.90924677348643,0.366978193249779,0.446738676297192,0.304737623227912,NaN,0.00130097257284588
0.911558466858037,0.366878556134222,0.446443040279071,0.307921277450449,0.00889853366380233,0.00113309508674031
0.913870160229644,0.366912662574325,0.451805893245034,0.311057925953377,0.0100227746498701,0.000965217600633751
0.916181853601252,0.367050524365678,0.458814983048084,0.314391945890689,0.0100570494545837,0.000446824686407143
0.918493546972859,0.367300388092075,0.468509469895981,0.317788152923286,0.0100913242592962,0.000351258700707218
0.920805240344467,0.367798924154071,0.479613019538193,0.321484659460197,0.00677157471682134,0.000255692715007935
0.923116933716074,0.367827014293472,0.48836804409427,0.324385092936558,0.00658997166382759,0.000208641291958264
0.925428627087681,0.368207223093709,0.492188414235503,0.327168068632183,0.00661641417363439,0.000201614396130823
0.927740320459289,0.368033877720453,0.495030085472451,0.329500599759599,0.00664285668344144,0.000197229942834314
0.930052013830896,0.367494371027569,0.495278347195504,0.332031098366339,0.00666929919324655,0.000192845489538496
0.932363707202504,0.36674155315677,0.495263124569211,0.334321884424635,0.00669332305754495,0.000188461036241555
0.934675400574111,0.365859649303782,0.496615213979789,0.336581023421017,0.00670062774514205,0.000184076582946582
0.936987093945718,0.365373225948549,0.499946681993548,0.339064135791267,0.00670793243273857,0.000181191524309128
0.939298787317326,0.365494853499838,0.50377189940645,0.341261969513706,0.00675028843412519,0.000181542088025618
0.941610480688933,0.366119126144316,0.507103266891367,0.343743265865411,0.00679864910141282,0.000180684025177419
0.943922174060541,0.366314062680066,0.508985592568423,0.345417071866858,0.00684700976870052,0.000169117290533847
0.946233867432148,0.36653189046972,0.508886311507738,0.346856316029457,0.00689537043598805,0.000157550555892579
0.948545560803756,0.366296883082307,0.508522751091781,0.348041517745212,0.00693876209747857,0.00015909409301984
0.950857254175363,0.365775362769334,0.508109141181229,0.349365472643703,0.006960561588348,0.00016113281309944
0.95316894754697,0.365597916771066,0.495870244329837,0.350550520963331,0.00698236107921798,0.000163171533179337
0.955480640918578,0.365592030646058,0.496291883210971,0.351625120710286,0.00700416057008764,0.000165210253259387
0.957792334290185,0.365738194455885,0.496599173780473,0.35303528125533,0.00701723098561133,0.000165477200721304
0.960104027661792,0.366268548760544,0.49675605086096,0.354133089840565,0.00702788804845346,0.000134981159619373
0.9624157210334,0.366759892605691,0.364850868253367,0.355765734046872,0.00704109251097391,6.57142038213991e-05
0.964727414405007,0.366881958623313,0.369565141050538,0.356649650985186,0.00705520502224963,3.55275197614305e-06
0.967039107776615,0.366816984993822,0.369626515390227,0.357251106994087,0.00707150714562617,7.28197077734259e-05
0.969350801148222,0.366626600902314,0.368958891827023,0.357737782690633,0.00708780926900221,0.000145565263663732
0.97166249451983,0.366828256738338,0.367270665549173,0.358211815086117,0.00710411139237792,0.000219336366828063
0.973974187891437,0.367065560223237,0.365208121094338,0.358723238714615,0.00712041351575363,0.000293107469990686
0.976285881263044,0.367254489720201,0.363146256881815,0.359231857462333,0.00715220662543535,0.000366878573154844
0.978597574634652,0.367557242623367,0.362639448756392,0.36008810716416,0.00718828892557237,0.000417711048607763
0.980909268006259,0.368590309588252,0.363492917294985,0.360608540808521,0.00719774357722576,0.000438292836759703
0.983220961377867,0.369213720135385,0.364786286808048,0.361623186502024,0.00722971793720271,0.000458874624912747
0.985532654749474,0.369663135127142,0.366815861236014,0.361922726037315,0.00727397617372546,0.000479456413064197
0.987844348121081,0.36935910453519,0.367977689073677,0.361789334656114,0.00731823441024761,0.000500038201216493
0.990156041492689,0.369584095973875,0.368512475913452,0.361815735218543,0.00736364683110847,0.00052517560332344
0.992467734864296,0.370830709613998,0.367863112564645,0.362120808683374,0.00741078360861516,0.000550568641645039
0.994779428235903,0.372105292833514,0.366618128333178,0.362695096259629,0.00745792038612124,0.000556253322775955
0.997091121607511,0.373406415942237,0.365152080670011,0.363448732654939,0.00750505716362854,0.000558161159418516
0.999402814979118,0.379311144216501,0.364250642263748,0.364324745601258,0.00755219394113402,0.000544853668488349
1.00171450835073,0.393989960479876,0.364334251538903,0.364658730802091,0.00758692515852099,0.000529716459247028
1.00402620172233,0.418405877243167,0.365080985330006,0.364696153304868,0.0077205903941745,0.000514579250004039
1.00633789509394,0.463748278491655,0.36634326141777,0.36348212641557,0.00788554538128062,0.000499442040762134
1.00864958846555,0.521699397183386,0.366882872778361,0.362762757288209,0.00805050036838618,0.000479246079278655
1.01096128183716,0.581259458696968,0.367099719207068,0.362461811649125,0.00821545535549253,0.000450200636869831
1.01327297520876,0.639593638543216,0.36665789194629,0.362764068625834,0.00838055248894819,0.000429610428673487
1.01558466858037,0.684718745024191,0.365907451617294,0.363617386989179,0.00854854630492376,0.000412509197821079
1.01789636195198,0.724921739697104,0.364979306649287,0.365008764194507,0.00871654012089856,0.000406782420783199
1.02020805532359,0.753528272625443,0.364352207069539,0.366675377110852,0.008884533936873,0.000404799184637618
1.02251974869519,0.761200749432624,0.364421419873225,0.368630270496314,0.00904759007426909,0.000402815948490407
1.0248314420668,0.75898589007129,0.364868125725683,0.369941621883176,0.00922160059676486,0.000399436237901107
1.02714313543841,0.749132845454513,0.366148624475652,0.369550258461066,0.00938479633297451,0.000386133170010424
1.02945482881001,0.722060631311373,0.366888790903548,0.369547157712337,0.00954799206918492,0.000367016202872258
1.03176652218162,0.69517665054954,0.367245949865397,0.369464429678996,0.00971118780539448,0.000347714500962388
1.03407821555323,0.675988761426221,0.367062025519929,0.369368660704782,0.0098743835416044,0.00032841279905012
1.03638990892484,0.65875146147128,0.366273310112529,0.369389383263584,0.0100381506661744,0.000313900676605387
1.03870160229644,0.64084909256396,0.365297945303255,0.369418605941313,0.0102041854509132,0.000299777857422122
1.04101329566805,0.625097955809233,0.364386320368706,0.368351054516948,0.0103510044151267,0.000291798431408965
1.04332498903966,0.609423814154418,0.363928680200206,0.367225522138062,0.0104441768793125,0.00028714437037447
1.04563668241127,0.594513386506274,0.364017334773197,0.366663613010038,0.0105373493434986,0.000292711744790079
