QFLS_eV,alpha_1e+04_to_5e+04,alpha_5e+04_to_1e+05,alpha_1e+05_to_5e+05,alpha_5e+05_to_1e+06
0.9,NaN,NaN,NaN,NaN
0.902311693371607,NaN,NaN,NaN,-0.445150865874744
0.904623386743215,NaN,NaN,NaN,-0.447558712987236
0.906935080114822,NaN,NaN,NaN,-0.448654628186277
0.90924677348643,NaN,NaN,NaN,-0.446738676297192
0.911558466858037,NaN,NaN,NaN,-0.446443040279071
0.913870160229644,NaN,NaN,NaN,-0.451805893245034
0.916181853601252,NaN,NaN,NaN,-0.458814983048084
0.918493546972859,NaN,NaN,NaN,-0.468509469895981
0.920805240344467,NaN,NaN,NaN,-0.479613019538193
0.923116933716074,NaN,NaN,NaN,-0.48836804409427
0.925428627087681,NaN,NaN,NaN,-0.492188414235503
0.927740320459289,NaN,NaN,NaN,-0.495030085472451
0.930052013830896,NaN,NaN,NaN,-0.495278347195504
0.932363707202504,NaN,NaN,NaN,-0.495263124569211
0.934675400574111,NaN,NaN,NaN,-0.496615213979789
0.936987093945718,NaN,NaN,NaN,-0.499946681993548
0.939298787317326,NaN,NaN,-0.505212028670415,-0.502998199214116
0.941610480688933,NaN,NaN,-0.508623817302612,-0.506286360954469
0.943922174060541,NaN,NaN,-0.50951624472627,-0.508700503106761
0.946233867432148,NaN,NaN,-0.510215446544332,-0.508172242250775
0.948545560803756,NaN,NaN,-0.509810581216018,-0.507830872633542
0.950857254175363,NaN,NaN,-0.508487038812993,-0.507906118107055
0.95316894754697,NaN,-0.39511497470008,-0.50677779675399,-0.507462793694282
0.955480640918578,NaN,-0.407358073207946,-0.50431883549296,-0.508244372199483
0.957792334290185,NaN,-0.406116557859046,-0.50318184065268,-0.510461888824849
0.960104027661792,NaN,-0.399981199700746,-0.502158196026504,-0.513343107452656
0.9624157210334,-0.12504799133265,-0.393654581556801,-0.501742026700144,-0.517584244805902
0.964727414405007,-0.136660913412191,-0.392058285961191,-0.501189382331885,-0.521869301348801
0.967039107776615,-0.136623558525591,-0.390301999202018,-0.502362984000019,-0.521705663150183
0.969350801148222,-0.135416695282189,-0.390001626388923,-0.503562979623475,-0.519565533549453
0.97166249451983,-0.132271968808756,-0.391507041041472,-0.504464647723368,-0.515518614338802
0.973974187891437,-0.128737825371223,-0.394021422561299,-0.506114132646495,-0.50927125025524
0.976285881263044,-0.12476543171709,-0.396195297360352,-0.506936456013281,-0.504645142328405
0.978597574634652,-0.122415076281279,-0.396302675849405,-0.507420816498548,-0.505196542040236
0.980909268006259,-0.12328773906197,-0.393466356552057,-0.507305886615519,-0.508772950173347
0.983220961377867,-0.123813097363321,-0.390071177525544,-0.50660850588812,-0.51537793043806
0.985532654749474,-0.123780955844415,-0.391111024873533,-0.50488403765209,-0.524591501463949
0.987844348121081,-0.123837734446118,-0.391636296445438,-0.504044384092733,-0.529641511359993
0.990156041492689,-0.123945932583067,-0.393174521882177,-0.503684550643477,-0.53123027595315
0.992467734864296,-0.124026596321122,-0.393782612891918,-0.503475197490905,-0.528572915133583
0.994779428235903,-0.123604918499826,-0.393843744545702,-0.504883561396917,-0.522797401589366
0.997091121607511,-0.122994682430251,-0.395426568900746,-0.504930953466846,-0.517176722550027
0.999402814979118,-0.122095235840991,-0.396293134668489,-0.504986906827671,-0.514425822656927
1.00171450835073,-0.12285659319122,-0.394735204608758,-0.504963583718535,-0.514498914546517
1.00402620172233,-0.124368453907566,-0.390851237166534,-0.504951911645771,-0.517204279696838
1.00633789509394,-0.124605234316242,-0.389101419653398,-0.505032647481442,-0.522469130554745
1.00864958846555,-0.124430312978004,-0.386957032315019,-0.505277224482139,-0.525500873689611
1.01096128183716,-0.123752458552219,-0.387140420391843,-0.505944115651232,-0.526417994750294
1.01327297520876,-0.122534686166121,-0.390766436015363,-0.505299313982741,-0.5253251203067
1.01558466858037,-0.121467024858572,-0.394187551577368,-0.505946141837823,-0.521557166863706
1.01789636195198,-0.120588167830401,-0.39982191534986,-0.504645022760792,-0.517928571276377
1.02020805532359,-0.120130208171873,-0.403204728523437,-0.502784942168234,-0.516549807088052
1.02251974869519,-0.121040909500531,-0.403042940022115,-0.501791016623401,-0.516769375005433
1.0248314420668,-0.122903747930469,-0.398311981665921,-0.501562222437764,-0.518488615873907
1.02714313543841,-0.125609665654425,-0.391524004032753,-0.502213818613046,-0.522317196391861
1.02945482881001,-0.127510624069257,-0.385811864722826,-0.503370763548085,-0.524079547568784
1.03176652218162,-0.128093415531909,-0.382620374515661,-0.505264007179324,-0.524133717836822
1.03407821555323,-0.127251808273164,-0.384076841998173,-0.50594276392083,-0.523122597225707
1.03638990892484,-0.125120584553241,-0.386397136114555,-0.507637026664443,-0.519980374672779
1.03870160229644,-0.122447055135081,-0.392986538935194,-0.507024288333198,-0.517332301878422
1.04101329566805,-0.119782120507417,-0.397252738869423,-0.505583838508344,-0.516882407153832
1.04332498903966,-0.117984296615232,-0.39845819392063,-0.505009845692295,-0.517530277910678
1.04563668241127,-0.117923097908714,-0.396711765818389,-0.504586172872384,-0.519214306190246
1.04794837578287,-0.119581384578467,-0.392711185005023,-0.504789590210894,-0.522568855681449
1.05026006915448,-0.121333707888853,-0.389789832130051,-0.50523664846874,-0.523964807210464
1.05257176252609,-0.123025153223014,-0.387329841902132,-0.506601621009264,-0.523285108663858
1.0548834558977,-0.124100476214373,-0.388197593952883,-0.506837437507216,-0.522562017584364
1.0571951492693,-0.123925715305714,-0.388716892341695,-0.508616137634063,-0.519041021179881
1.05950684264091,-0.123027051700836,-0.393274711002132,-0.50825657740093,-0.516754626442513
1.06181853601252,-0.121676586557011,-0.396591948330085,-0.506775712006102,-0.516813584950619
1.06413022938413,-0.120530685908906,-0.396885622554096,-0.506616147639711,-0.517574544942805
1.06644192275573,-0.120563866691407,-0.395596999149439,-0.50642372645528,-0.518789212718168
1.06875361612734,-0.121638579820105,-0.392439453089871,-0.506620214231927,-0.522184452696741
1.07106530949895,-0.122434953886199,-0.390932541610407,-0.507054771324429,-0.522584609026052
1.07337700287056,-0.123265590738325,-0.389320943647782,-0.507876333943496,-0.521953425108243
1.07568869624216,-0.123976841553418,-0.390280879725641,-0.508248576497782,-0.520596998772636
1.07800038961377,-0.123707824102094,-0.39045240540436,-0.509286076676257,-0.518820505306541
1.08031208298538,-0.123151468470348,-0.394087660804021,-0.508504883691558,-0.517914970085473
1.08262377635698,-0.122427336390856,-0.396930590569996,-0.507204313625031,-0.518411761174134
1.08493546972859,-0.12162036617546,-0.396490703883055,-0.50746624980361,-0.518702566014146
1.0872471631002,-0.121825049621877,-0.395038737668288,-0.508376219341481,-0.517931134103259
1.08955885647181,-0.122843998068163,-0.39201458791941,-0.509922613029372,-0.516954445704672
1.09187054984341,-0.123320623321826,-0.391053343129235,-0.512422752761875,-0.51179833022262
1.09418224321502,-0.123772658260679,-0.389645631464353,-0.514306451519708,-0.508351944463553
1.09649393658663,-0.124099355222058,-0.391132223209357,-0.514447204544008,-0.507552723790514
1.09880562995824,-0.123714089976346,-0.391837391657922,-0.515578762128094,-0.505822503996323
1.10111732332984,-0.123184134788569,-0.394274921897937,-0.51549462142211,-0.506541091035994
1.10342901670145,-0.122561981779936,-0.397111124834627,-0.514628883244481,-0.508822866574581
1.10574071007306,-0.121891958269904,-0.396652433649396,-0.514503230487143,-0.511716236034507
1.10805240344467,-0.122260926748284,-0.395164453960886,-0.514427562947256,-0.513219421394712
1.11036409681627,-0.12342270232417,-0.392179867455265,-0.515181738227999,-0.516038984965136
1.11267579018788,-0.123898269930881,-0.391860235707478,-0.516297156976721,-0.515888159036879
1.11498748355949,-0.124087295423935,-0.391322325225772,-0.516908204366066,-0.516214253969509
1.1172991769311,-0.124325309808432,-0.392298559383825,-0.517245014137131,-0.515049363546061
1.1196108703027,-0.124163586218178,-0.392313816770061,-0.517568642683333,-0.513308011683381
1.12192256367431,-0.123614891843226,-0.394782966970127,-0.515458940171397,-0.514065233644798
1.12423425704592,-0.123303456916819,-0.396348680844341,-0.513098669160252,-0.515192687241495
1.12654595041753,-0.122546404004222,-0.394813359085248,-0.512011311680147,-0.518026109079381
1.12885764378913,-0.123004364880122,-0.393606487068056,-0.511080038705663,-0.519887875790538
1.13116933716074,-0.123575180999109,-0.393383636927438,-0.509772049704248,-0.524855428495328
1.13348103053235,-0.123649150000516,-0.395776035316728,-0.508665232808732,-0.528091671656925
1.13579272390396,-0.123778402971966,-0.399652393854458,-0.507303291482042,-0.529461999683822
1.13810441727556,-0.124494977630617,-0.40292837451941,-0.506750144440918,-0.52578171705941
1.14041611064717,-0.125363934614916,-0.401466201007057,-0.50853656646909,-0.517108570921941
1.14272780401878,-0.126534492985612,-0.401024608470935,-0.508493926933354,-0.511138177892916
1.14503949739038,-0.127846570753558,-0.399403958259185,-0.507611811458983,-0.507672126271629
1.14735119076199,-0.128166482404826,-0.397841775636631,-0.506787683111901,-0.510037928956669
1.1496628841336,-0.128981411199731,-0.397061728975213,-0.505149310131805,-0.513437691081894
1.15197457750521,-0.130017705145232,-0.394119501421592,-0.503702062300524,-0.519936989485474
1.15428627087681,-0.130041915357704,-0.392610489934919,-0.502601544816557,-0.525788028179993
1.15659796424842,-0.12899586344472,-0.39389947316757,-0.50142385122017,-0.528664573712575
1.15890965762003,-0.127212352649963,-0.396261120837103,-0.500847815825087,-0.528008371513499
1.16122135099164,-0.125123999361514,-0.397252239322198,-0.501880771180885,-0.523150649573581
1.16353304436324,-0.125349390991246,-0.396114852812822,-0.5023972533624,-0.51919563754097
1.16584473773485,-0.125173509438027,-0.39421822360551,-0.502755702693128,-0.514961573727137
1.16815643110646,-0.124617466412625,-0.390387751698473,-0.503801240884995,-0.515262408846789
1.17046812447807,-0.12476658132504,-0.385535434677602,-0.504773288009803,-0.516647485103976
1.17277981784967,-0.124346471282176,-0.383187518896297,-0.505146596550862,-0.520072249494041
1.17509151122128,-0.123248339091047,-0.384593407613975,-0.505208486353529,-0.523971165547105
1.17740320459289,-0.121495975060793,-0.386740711054029,-0.505917724399663,-0.524773104768172
1.1797148979645,-0.119344796417168,-0.389729051192237,-0.505766088883433,-0.524949681889422
1.1820265913361,-0.117678585593728,-0.392408473271727,-0.50646205305724,-0.521188192714016
1.18433828470771,-0.116434620859992,-0.397928236549559,-0.505738739986582,-0.518684069196746
1.18664997807932,-0.116466849448647,-0.401712603241438,-0.503768812178578,-0.516858418029938
1.18896167145093,-0.117321687692947,-0.402560872382418,-0.50277048454023,-0.51678645898926
