QFLS_eV,alpha_1e+04_to_5e+04,alpha_5e+04_to_1e+05,alpha_1e+05_to_5e+05,alpha_5e+05_to_1e+06
0.9,NaN,NaN,NaN,NaN
0.902311693371607,-0.248463769306606,0.520315894884484,-0.479856892752324,-0.524031793785827
0.904623386743215,-0.245308094005665,0.480638108031484,-0.48251621951417,-0.526307951813286
0.906935080114822,-0.242138803780372,0.442264377827277,-0.485462646798921,-0.524099008528439
0.90924677348643,-0.238794138752026,0.403726306186671,-0.487007480996635,-0.52285055198538
0.911558466858037,-0.235403045476906,0.365722604942488,-0.488238772975352,-0.520604528833239
0.913870160229644,-0.231283565135149,0.326108375835837,-0.488798276506799,-0.519105578953698
0.916181853601252,-0.226812104407874,0.285753603264073,-0.489523594427653,-0.51830393131231
0.918493546972859,-0.22235028510269,0.247786162345755,-0.491170964232661,-0.517842705218931
0.920805240344467,-0.217790754789897,0.210235332726043,-0.493327648035033,-0.518308698465268
0.923116933716074,-0.213250762531368,0.173609591264609,-0.496263698567774,-0.515280453107345
0.925428627087681,-0.209131108908989,0.138118716557149,-0.497785641448008,-0.513296506419267
0.927740320459289,-0.205285067613439,0.106582449524358,-0.499542408425278,-0.510801855967797
0.930052013830896,-0.201763874981191,0.0767948834968937,-0.49961314173613,-0.511264651620488
0.932363707202504,-0.198331287679986,0.0475387550528135,-0.49874587920202,-0.511944289840638
0.934675400574111,-0.194392024511459,0.0176256820419436,-0.497154385210822,-0.513638127490888
0.936987093945718,-0.190645250632228,-0.0105544728869831,-0.495900318899231,-0.516380711393917
0.939298787317326,-0.186844218603988,-0.0364730704247612,-0.495974389809574,-0.517717276055466
0.941610480688933,-0.182556804906551,-0.0616242769127849,-0.497119955287825,-0.519982175451947
0.943922174060541,-0.178629760174431,-0.0841965617657397,-0.499681909284451,-0.518344729421194
0.946233867432148,-0.174920971799715,-0.104870455008432,-0.501755830311001,-0.516923701346251
0.948545560803756,-0.171608301768415,-0.123979211483382,-0.503397443012661,-0.51519787008697
0.950857254175363,-0.168972497976682,-0.14285862008185,-0.50333248081006,-0.515061211252303
0.95316894754697,-0.166749129653218,-0.160306791183369,-0.502781629829048,-0.515036529708672
0.955480640918578,-0.163876263970862,-0.180436092330529,-0.500911531755758,-0.515612342257787
0.957792334290185,-0.161067224613267,-0.200385786539267,-0.498697295632268,-0.517847289098237
0.960104027661792,-0.158438579183459,-0.217500898866906,-0.498041811435312,-0.518283125220205
0.9624157210334,-0.155706795310082,-0.232525641451901,-0.498448106614159,-0.5207355415558
0.964727414405007,-0.152926164695881,-0.244583870088141,-0.500706461008916,-0.519757064275213
0.967039107776615,-0.150625528776796,-0.254267760491693,-0.50286463036379,-0.518272638240791
0.969350801148222,-0.148445720592398,-0.262697162439408,-0.504689801369242,-0.517127639250406
0.97166249451983,-0.146671268147455,-0.270811498396418,-0.505189693372433,-0.516974504724411
0.973974187891437,-0.145844505790817,-0.277619738907783,-0.50529001734098,-0.516761247899834
0.976285881263044,-0.144157425559358,-0.289353488262614,-0.503948118807425,-0.516931009596567
0.978597574634652,-0.142702020428279,-0.300056576420688,-0.502451247686453,-0.518777679575891
0.980909268006259,-0.141101030378346,-0.309437739929317,-0.502426646003063,-0.518553680705576
0.983220961377867,-0.139446201898684,-0.317141332008885,-0.502675153707801,-0.520782152749193
0.985532654749474,-0.137420078162486,-0.323382967580941,-0.50443164001111,-0.519803481687512
0.987844348121081,-0.135622737311133,-0.327841032769094,-0.505937010414605,-0.517957429772163
