QFLS_eV,alpha_10000_mu_1_csv_alpha_1e_04,alpha_50000_mu_1_csv_alpha_5e_04,alpha_100000_mu_1_csv_alpha_1e_05,alpha_500000_mu_1_csv_alpha_5e_05,alpha_1e_06_mu_1_csv_alpha_1e_06
0.9,NaN,NaN,NaN,NaN,NaN
0.902311693371607,NaN,0.00085587882938043,NaN,NaN,NaN
0.904623386743215,NaN,0.000876515880849915,NaN,-0.00178615714452057,-0.00400054137149866
0.906935080114822,NaN,0.000897152932319401,NaN,-0.00172809180228217,-0.00357561130689455
0.90924677348643,NaN,0.000917789983790662,NaN,-0.00167002646004377,-0.00315068124228454
0.911558466858037,NaN,0.000938427035260148,NaN,-0.0016119611178036,-0.00272575117767748
0.913870160229644,NaN,0.000959064086729633,NaN,-0.00155389577556342,-0.00230082111306747
0.916181853601252,0.000363175544183632,0.000979701138200895,-0.000205278632631867,-0.00149583043332502,-0.00187589104846336
0.918493546972859,0.00044094776727215,0.00100033818967038,-0.000308853385539543,-0.00143776509108573,-0.00145096098385335
0.920805240344467,0.000518719990356856,0.00102097524113987,-0.000412428138443666,-0.00137969974884644,-0.00102603091924629
0.923116933716074,0.000596492213445374,0.00104403057290181,-0.000449344366856508,-0.00134436688707495,-0.00089001799220704
0.925428627087681,0.000665408462058453,0.00107185771104756,-0.000474305357729854,-0.00135639571092927,-0.000914637085101009
0.927740320459289,0.000726548109186647,0.00109424923802059,-0.0004992663486032,-0.00136842453478359,-0.000939256177992027
0.930052013830896,0.000787687756316112,0.00111664076499363,-0.000524227339477434,-0.00138045335863879,-0.000963875270885996
0.932363707202504,0.000848827403445576,0.00113903229196843,-0.000549188330350781,-0.00139248218249399,-0.000988494363777014
0.934675400574111,0.00090996705057377,0.00116142381894058,-0.000574149321224127,-0.0014045110063492,-0.00101311345667393
0.936987093945718,0.000946202291498518,0.0011838153459145,-0.000581702879185464,-0.00141653983020529,-0.0010377325495679
0.939298787317326,0.000928695008413202,0.00120620687288753,-0.000551692024906458,-0.00142856865406049,-0.00106235164246187
0.941610480688933,0.000911187725329156,0.00122859839986056,-0.000514183713723249,-0.0014351712681,-0.00109385126925356
0.943922174060541,0.00089368044224384,0.00125065861267437,-0.000463873645754731,-0.00142217613968931,-0.0011038757221434
0.946233867432148,0.000876173159158524,0.0012575512239712,-0.000413563577786213,-0.00139401340976431,-0.0011139001750421
0.948545560803756,0.000820082876555267,0.00123747547592679,-0.000363253509819472,-0.00136585067983575,-0.00112392462792604
0.950857254175363,0.000762535290559165,0.00121638111652356,-0.000312943441850067,-0.00133768794990807,-0.00113394908082178
0.95316894754697,0.000704987704563063,0.00119528675712033,-0.000262633373883325,-0.00130952521998218,-0.00114397353371457
0.955480640918578,0.00064744011856442,0.00117419239771621,-0.000212323305914808,-0.00128136249005539,-0.00115399798660737
0.957792334290185,0.000619321038737725,0.00115309803831387,-0.000182582881030235,-0.00125319976012772,-0.00116402243950016
0.960104027661792,0.000765948604487385,0.00113200367890975,-0.000286593445578909,-0.00120785551736891,-0.00107840911854619
0.9624157210334,0.000912576170238316,0.00111090931950741,-0.000426555356897396,-0.00113697217980402,-0.000788528972151311
0.964727414405007,0.00105920373598798,0.00109662910819797,-0.000566517268215883,-0.00107290299033291,-0.000498648825756431
0.967039107776615,0.00120583130174018,0.00110658501189054,-0.000706479179535258,-0.00103306991586383,-0.000208768679364502
0.969350801148222,0.00136269624685239,0.00112369653667965,-0.000846441090853745,-0.000993236841392964,8.11114670333285e-05
0.97166249451983,0.00152257933611232,0.0011429176536959,-0.00098640300217312,-0.000953403766922989,0.000370991613428208
0.973974187891437,0.00168246242536844,0.00116213877071036,-0.00112636491349161,-0.000913570692453902,0.000660871759820138
0.976285881263044,0.00184234551462455,0.00118135988772572,-0.00126632682481009,-0.000873737617983927,0.000950751906217968
0.978597574634652,0.00195483465430902,0.00120058100474107,-0.00133489441828605,-0.0008365820659888,0.00110461606826357
0.980909268006259,0.00196582016137837,0.00121980212175554,-0.00128109681462263,-0.000799729793244275,0.00108666850853151
0.983220961377867,0.00197680566844644,0.00123902323877179,-0.00122729921095921,-0.000762877520500638,0.00106872094880535
0.985532654749474,0.00198779117551452,0.00126019209197636,-0.00117350160729401,-0.000727972983946223,0.00105077338907034
0.987844348121081,0.00199877668258387,0.00128196076085008,-0.00111970400362971,-0.000693668263060054,0.00103282582933828
0.990156041492689,0.0020231691772475,0.00131310051190248,-0.00106590639996629,-0.000659363542175662,0.00101487826960917
0.992467734864296,0.00204831399894941,0.00134476611698719,-0.00101210879630198,-0.000625058821289493,0.000996930709880066
0.994779428235903,0.00207345882065132,0.00137643172207191,-0.000958311192637673,-0.000613554522758797,0.000903241786553012
0.997091121607511,0.00209860364235196,0.00140809732715663,-0.000914499152741222,-0.000611784301837837,0.000810388282163044
0.999402814979118,0.00186461277673986,0.00143976293224046,-0.000690390666876262,-0.000610014080917765,0.000720297381255448
1.00171450835073,0.00160023094778451,0.00147142853732518,-0.000445039809231496,-0.000608243859996804,0.000630206480353751
1.00402620172233,0.00133584911882789,0.00147606884610418,-0.000199688951584065,-0.000579448342771016,0.000540115579443204
1.00633789509394,0.00107146728986873,0.00146614636686415,4.56619060624774e-05,-0.000536090037526193,0.000450024678541508
1.00864958846555,0.0007921977576909,0.00144581782964082,0.000291012763709908,-0.000492731732282259,0.000359933777633911
1.01096128183716,0.000495891386621796,0.00141358105306377,0.000536363621355562,-0.000452914051974673,0.000258081175282699
1.01327297520876,0.000199585015553963,0.00138134427648673,0.000761763323423814,-0.000414033216868503,0.000219392744771434
1.01558466858037,-9.67213555151412e-05,0.00134910749990969,0.000979649921722725,-0.000375152381763222,0.000205662304751347
1.01789636195198,-0.000204102138106342,0.00131687072333087,0.00106548320062405,-0.00033627154665794,0.000191931864725359
1.02020805532359,-0.00024930405239964,0.00128463394675471,0.00110785531568336,-0.000297390711552659,0.000178201424702321
1.02251974869519,-0.000294505966695479,0.00127499346424997,0.00115022743074267,-0.000281106170521461,0.000164470984676333
1.0248314420668,-0.000339707880988776,0.00126917058163745,0.0011925995458002,-0.000270254798188319,0.000145373741244982
1.02714313543841,-0.000391850558640514,0.00125849631363106,0.00123497166085951,-0.000268155222951982,9.72036571540443e-05
1.02945482881001,-0.000458701156983299,0.00123754165023371,0.00127910144454013,-0.000266055647714758,4.31947242855045e-05
1.03176652218162,-0.000525551755324813,0.00121658698683902,0.00132362903290151,-0.000263956072478422,-1.21356871253519e-05
1.03407821555323,-0.000592402353668868,0.00119563232344078,0.00136815662126288,-0.000261856497242086,-6.74660985421092e-05
1.03638990892484,-0.000579699759071655,0.0011746776600452,0.00135707891400916,-0.000259756922005749,-0.000122796509950015
1.03870160229644,-0.000560530977246347,0.00116510370525891,0.00134148153584146,-0.000269038055379589,-0.000178126921363822
1.04101329566805,-0.000541362195418497,0.00117545968020938,0.00132588415767376,-0.000291141881817225,-0.000209847603602593
1.04332498903966,-0.000522193413591918,0.00118581565515541,0.00130675106006262,-0.000311298165765805,-0.000223353283987954
1.04563668241127,-0.000494776608212108,0.00120193675116376,0.00127164243215461,-0.000331454449715274,-0.000183789401440589
1.04794837578287,-0.000459114692718252,0.00122382093182338,0.00123653380424482,-0.000351610733664742,-0.000144225518890274
1.05026006915448,-0.000423452777223125,0.00124570511248301,0.00120142517633592,-0.000371767017613323,-0.000104661636342909
1.05257176252609,-0.000373396806935938,0.00126758929314352,0.00115625553588661,-0.000391923301563679,-6.50977537984945e-05
1.0548834558977,-0.00030240607230574,0.00128256202447208,0.00109645312311368,-0.000381797192857469,5.21027219799543e-05
1.0571951492693,-0.000231415337678083,0.00126484207335587,0.00103665071034253,-0.000327243098965369,0.000208287029636147
1.05950684264091,-0.000160424603050426,0.00124712212223965,0.000986067964076298,-0.00027268900507238,0.000333844268107133
1.06181853601252,-8.94338684214989e-05,0.00122940217112344,0.000937639378906674,-0.000218134911179391,0.000452245538307418
1.06413022938413,1.45627516021946e-05,0.00123475234386383,0.000889210793734385,-0.000163580817286402,0.000570646808513603
1.06644192275573,0.000118813151680166,0.00124027990125164,0.000840782208563873,-0.000109026723392525,0.000689048078722739
1.06875361612734,0.000212413746628875,0.00124580745863945,0.000799797517731626,-7.65664212849515e-05,0.00073405536127141
1.07106530949895,0.000262426287337313,0.0012471431110983,0.000789279569359813,-4.57284668451408e-05,0.000759748114771235
1.07337700287056,0.000312438828048292,0.00123722128819725,0.000802933654370896,-3.63303704720153e-06,0.000705143111454058
1.07568869624216,0.000362451368760541,0.00122729946529709,0.000827369220502305,3.84623927516259e-05,0.000614722803101725
1.07800038961377,0.000412463909468979,0.00121737764239604,0.000851804786635491,8.05578225513415e-05,0.000524302494752343
1.08031208298538,0.000457100284366372,0.00120369804085207,0.000876240352767788,0.000101696234230175,0.000364264479116239
1.08262377635698,0.000500231779275245,0.00118896657333778,0.000900675918899196,8.59619614068663e-06,-0.000175265452312783
1.08493546972859,0.000531100587360273,0.00117423510582437,0.000933682735293928,-8.4503841948802e-05,-0.000714795383741805
1.0872471631002,0.000529834003518217,0.00118135879830383,0.000962496747962227,-0.000199459040029382,-0.00116578105331403
1.08955885647181,0.00052856741967489,0.00120083798340698,0.000985367914227098,-0.000326769730734533,-0.00159702501445511
1.09187054984341,0.000527300835834105,0.00122031716851101,0.00100823908049108,-0.000454080421440572,-0.00202826897559913
