QFLS_eV,mean_deriv_all_folders
0.9,NaN
0.902311693371607,-0.276007461913755
0.904623386743215,-0.278463064131105
0.906935080114822,-0.279597735652332
0.90924677348643,-0.279938866336932
0.911558466858037,-0.222695487057336
0.913870160229644,-0.2241437849447
0.916181853601252,-0.226129445707255
0.918493546972859,-0.228771589070551
0.920805240344467,-0.232476144230129
0.923116933716074,-0.234839764190486
0.925428627087681,-0.236229781236778
0.927740320459289,-0.237223787242379
0.930052013830896,-0.237665472577141
0.932363707202504,-0.237964340025863
0.934675400574111,-0.238507867108478
0.936987093945718,-0.239571460564987
0.939298787317326,-0.240791995214779
0.941610480688933,-0.242069538764972
0.943922174060541,-0.242807766927436
0.946233867432148,-0.243107339625364
0.948545560803756,-0.243216296782968
0.950857254175363,-0.243290109563804
0.95316894754697,-0.241039898503639
0.955480640918578,-0.241334016850097
0.957792334290185,-0.24170417914136
0.960104027661792,-0.242052956514647
0.9624157210334,-0.216080223319756
0.964727414405007,-0.217207598576962
0.967039107776615,-0.217310056104947
0.969350801148222,-0.217217980177461
0.97166249451983,-0.216997457922884
0.973974187891437,-0.216716679809289
0.976285881263044,-0.216422703773152
0.978597574634652,-0.216535759713948
0.980909268006259,-0.217011146255555
0.983220961377867,-0.217586920176668
0.985532654749474,-0.218129657962736
0.987844348121081,-0.218261571130703
0.990156041492689,-0.218404696934288
0.992467734864296,-0.218570655722351
0.994779428235903,-0.218680868743485
0.997091121607511,-0.218788802188828
0.999402814979118,-0.219957896894377
1.00171450835073,-0.22297326024062
1.00402620172233,-0.227989569246773
1.00633789509394,-0.23703773578059
1.00864958846555,-0.248563056160458
1.01096128183716,-0.26043106671216
1.01327297520876,-0.272041087239544
1.01558466858037,-0.281056505625584
1.01789636195198,-0.289157297599843
1.02020805532359,-0.295053304736865
1.02251974869519,-0.296960406755881
1.0248314420668,-0.296834920169097
1.02714313543841,-0.295012159777649
1.02945482881001,-0.28971631433104
1.03176652218162,-0.284365625557515
1.03407821555323,-0.280443330262056
1.03638990892484,-0.276812420700923
1.03870160229644,-0.273012336100039
1.04101329566805,-0.26943850556967
1.04332498903966,-0.2659693390486
1.04563668241127,-0.262872854640244
1.04794837578287,-0.261383998709257
1.05026006915448,-0.259630611920329
1.05257176252609,-0.256969576319994
1.0548834558977,-0.254473503990691
1.0571951492693,-0.252520948179078
1.05950684264091,-0.250923344132408
1.06181853601252,-0.249207661935996
1.06413022938413,-0.247357812397635
1.06644192275573,-0.2451870990524
1.06875361612734,-0.243288335760391
1.07106530949895,-0.241782005855364
1.07337700287056,-0.240288114369584
1.07568869624216,-0.238839922981015
1.07800038961377,-0.237432412113237
1.08031208298538,-0.235984201586757
