   1.5008749e+00   2.0947170e-01
   1.5018840e+00   2.2299957e-01
   1.5028944e+00   2.3973685e-01
   1.5039062e+00   2.5256321e-01
   1.5049193e+00   2.7711449e-01
   1.5059339e+00   2.9732164e-01
   1.5069498e+00   3.1376337e-01
   1.5079670e+00   3.4563765e-01
   1.5089857e+00   3.6342732e-01
   1.5100057e+00   3.8604191e-01
   1.5110271e+00   4.2193312e-01
   1.5120499e+00   4.5599729e-01
   1.5130740e+00   4.8308877e-01
   1.5140996e+00   5.2404304e-01
   1.5151265e+00   5.5958652e-01
   1.5161549e+00   6.0979096e-01
   1.5171846e+00   6.5215922e-01
   1.5182157e+00   7.0293724e-01
   1.5192483e+00   7.4893562e-01
   1.5202822e+00   8.1630470e-01
   1.5213176e+00   8.7054182e-01
   1.5223543e+00   9.3938510e-01
   1.5233925e+00   1.0053234e+00
   1.5244321e+00   1.0830740e+00
   1.5254731e+00   1.1576773e+00
   1.5265155e+00   1.2610488e+00
   1.5275594e+00   1.3426548e+00
   1.5286047e+00   1.4445256e+00
   1.5296514e+00   1.5446185e+00
   1.5306996e+00   1.6749035e+00
   1.5317492e+00   1.7977734e+00
   1.5328002e+00   1.9293082e+00
   1.5338527e+00   2.1072137e+00
   1.5349066e+00   2.2599482e+00
   1.5359620e+00   2.4244567e+00
   1.5370188e+00   2.6176833e+00
   1.5380771e+00   2.8291994e+00
   1.5391368e+00   3.0496379e+00
   1.5401980e+00   3.2770517e+00
   1.5412607e+00   3.5579829e+00
   1.5423248e+00   3.8133968e+00
   1.5433904e+00   4.1556266e+00
   1.5444575e+00   4.4386783e+00
   1.5455261e+00   4.8100896e+00
   1.5465961e+00   5.2565483e+00
   1.5476676e+00   5.6234685e+00
   1.5487406e+00   6.0349988e+00
   1.5498151e+00   6.5293916e+00
   1.5508911e+00   7.0930627e+00
   1.5519686e+00   7.6122588e+00
   1.5530475e+00   8.2307612e+00
   1.5541280e+00   8.8616898e+00
   1.5552100e+00   9.6340360e+00
   1.5562935e+00   1.0252115e+01
   1.5573785e+00   1.1225300e+01
   1.5584650e+00   1.2027612e+01
   1.5595530e+00   1.2966322e+01
   1.5606426e+00   1.4043891e+01
   1.5617336e+00   1.5019906e+01
   1.5628262e+00   1.6387846e+01
   1.5639204e+00   1.7602977e+01
   1.5650160e+00   1.9054439e+01
   1.5661132e+00   2.0613943e+01
   1.5672120e+00   2.2225754e+01
   1.5683123e+00   2.4164551e+01
   1.5694141e+00   2.5908167e+01
   1.5705175e+00   2.7740309e+01
   1.5716224e+00   3.0213297e+01
   1.5727289e+00   3.2794374e+01
   1.5738369e+00   3.5245237e+01
   1.5749465e+00   3.7991474e+01
   1.5760577e+00   4.0964685e+01
   1.5771705e+00   4.4132358e+01
   1.5782848e+00   4.7560994e+01
   1.5794007e+00   5.1214940e+01
   1.5805181e+00   5.5382770e+01
   1.5816372e+00   5.9898269e+01
   1.5827578e+00   6.4459475e+01
   1.5838800e+00   6.9183599e+01
   1.5850039e+00   7.4772225e+01
   1.5861293e+00   8.0190259e+01
   1.5872563e+00   8.7108918e+01
   1.5883849e+00   9.3400378e+01
   1.5895151e+00   1.0042397e+02
   1.5906470e+00   1.0822144e+02
   1.5917804e+00   1.1679515e+02
   1.5929155e+00   1.2550215e+02
   1.5940522e+00   1.3438027e+02
   1.5951905e+00   1.4405606e+02
   1.5963304e+00   1.5401693e+02
   1.5974720e+00   1.6567103e+02
   1.5986151e+00   1.7677851e+02
   1.5997600e+00   1.8960615e+02
   1.6009065e+00   2.0326171e+02
   1.6020546e+00   2.1706031e+02
   1.6032043e+00   2.3323853e+02
   1.6043558e+00   2.4787226e+02
   1.6055088e+00   2.6621622e+02
   1.6066636e+00   2.8521017e+02
   1.6078200e+00   3.0500979e+02
   1.6089780e+00   3.2429477e+02
   1.6101378e+00   3.4793697e+02
   1.6112992e+00   3.7178405e+02
   1.6124622e+00   3.9709163e+02
   1.6136270e+00   4.2431454e+02
   1.6147934e+00   4.5185128e+02
   1.6159616e+00   4.8128657e+02
   1.6171314e+00   5.1105530e+02
   1.6183029e+00   5.4426304e+02
   1.6194761e+00   5.7735171e+02
   1.6206510e+00   6.1483817e+02
   1.6218277e+00   6.5638331e+02
   1.6230060e+00   6.9484422e+02
   1.6241861e+00   7.3843317e+02
   1.6253678e+00   7.8246640e+02
   1.6265513e+00   8.3216840e+02
   1.6277365e+00   8.8215877e+02
   1.6289235e+00   9.3871912e+02
   1.6301121e+00   9.9494741e+02
   1.6313025e+00   1.0600098e+03
   1.6324947e+00   1.1246437e+03
   1.6336886e+00   1.1936036e+03
   1.6348842e+00   1.2673940e+03
   1.6360816e+00   1.3496654e+03
   1.6372807e+00   1.4284865e+03
   1.6384817e+00   1.5191395e+03
   1.6396843e+00   1.6142346e+03
   1.6408888e+00   1.7171029e+03
   1.6420950e+00   1.8194923e+03
   1.6433029e+00   1.9331334e+03
   1.6445127e+00   2.0511206e+03
   1.6457242e+00   2.1700878e+03
   1.6469376e+00   2.3050447e+03
   1.6481527e+00   2.4450158e+03
   1.6493696e+00   2.5947758e+03
   1.6505883e+00   2.7455682e+03
   1.6518088e+00   2.9174129e+03
   1.6530311e+00   3.0837432e+03
   1.6542553e+00   3.2554329e+03
   1.6554812e+00   3.4365920e+03
   1.6567090e+00   3.6276615e+03
   1.6579386e+00   3.8402302e+03
   1.6591700e+00   4.0492406e+03
   1.6604032e+00   4.2726985e+03
   1.6616383e+00   4.5113187e+03
   1.6628752e+00   4.7635988e+03
   1.6641140e+00   5.0447910e+03
   1.6653546e+00   5.3027217e+03
   1.6665970e+00   5.6202338e+03
   1.6678413e+00   5.9051617e+03
   1.6690875e+00   6.2510601e+03
   1.6703355e+00   6.5925419e+03
   1.6715854e+00   6.9465795e+03
   1.6728372e+00   7.3361914e+03
   1.6740909e+00   7.7373720e+03
   1.6753464e+00   8.1599878e+03
   1.6766038e+00   8.6175245e+03
   1.6778631e+00   9.0772507e+03
   1.6791243e+00   9.5592596e+03
   1.6803874e+00   1.0009707e+04
   1.6816524e+00   1.0507642e+04
   1.6829193e+00   1.1053950e+04
   1.6841881e+00   1.1561785e+04
   1.6854588e+00   1.2074579e+04
   1.6867315e+00   1.2642975e+04
   1.6880061e+00   1.3221387e+04
   1.6892826e+00   1.3732891e+04
   1.6905610e+00   1.4264421e+04
   1.6918414e+00   1.4919860e+04
   1.6931237e+00   1.5500677e+04
   1.6944079e+00   1.6076876e+04
   1.6956941e+00   1.6669099e+04
   1.6969823e+00   1.7222321e+04
   1.6982724e+00   1.7876177e+04
   1.6995645e+00   1.8464584e+04
   1.7008585e+00   1.9075134e+04
   1.7021545e+00   1.9661610e+04
   1.7034525e+00   2.0395603e+04
